"","LPC.20.4","LPC.22.4","PE.40.4","PE.P.16.0.22.5","PE.P.18.0.16.0","PE.P.18.0.20.3","PE.P.18.0.22.4","PE.P.18.1.16.0","PE.P.18.1.22.5","PC.O.32.0","PC.O.34.1","PC.O.36.5","PC.O.40.6","PC.32.2","PC.34.1","SM.34.2.O2","SM.38.2.O2","SM.42.2.O2","DG.38.5","CE.18.3","CE.22.5"
"K1",-0.65537938822978,-1.5186197609245,-0.295082924964449,-1.2107408334819,-0.278458147033526,-1.07932988399219,-0.854842049261711,1.07370690730312,-0.35875518599994,2.05590298306485,2.15121004189223,-0.554214107141889,-0.375007136370324,2.15173442944005,1.4836247831552,1.07158087296339,1.96275375912976,2.81379953212675,0.532459587233614,0.904108770040134,-1.15530270388625
"K10",-0.122951936019155,0.914122952477531,0.359777285946247,0.069970095689662,0.0209069924316261,0.476566325653849,-0.11315757914959,-0.967504562475566,-0.317218149200128,-0.357015609363505,0.010591523862675,-0.483808435475883,-0.255166841283674,1.42823127904306,0.242073401342055,0.820943051428353,-0.293374285174704,-0.411821624815301,-0.150184051269123,0.423367100964493,-0.0965686360999695
"K11",0.858361575474545,3.09865197599393,-0.0970651868168758,-0.873357450880598,0.730267768107674,-0.874421149517812,-0.106724201306187,-0.332809746906964,-0.327855572126457,-0.00763951558735056,-0.240794896963445,0.4108463248061,0.466501088895927,-0.603458928984057,-0.88349224224361,-0.000491271891595719,-0.218189859915766,-0.671120800279717,-0.123561334079836,-0.579238540112709,-1.13836067601461
"K13",2.82465334459827,1.36893016727689,-0.641892597164739,0.188325077574645,-0.528666380738219,-0.760639650946439,-0.218847982153311,0.276818319486689,-0.138251016037339,-0.256596392209228,-0.156458446484339,-0.0900099969600261,-0.691325400284716,-0.709389868520589,-0.861936250675345,-0.795851712924987,-0.481073812056342,0.0535702875698657,0.223829031346642,-1.01678309251417,-0.68478811875768
"K14",0.175081683511565,0.674732426875288,0.427914557643424,-0.343817958036839,-0.539096931509796,0.76300730300696,-0.372377189269304,-0.0438757261062606,-0.377084191932543,-0.659833836996017,-0.233876400595163,0.772339676900418,0.0396664097699828,-0.162542180200455,1.66040853805771,-0.532870344290055,-0.68421068467278,-0.201578312824905,1.07701336772084,0.185355927648237,-1.05606125545775
"K15",0.663742864023184,1.29421807063378,-0.387137178205004,0.151726751821794,-0.0630297781565005,-0.890915251129158,-0.351160650552191,-0.461825556703302,-0.298617315296671,-0.74641998858971,-0.472585788058627,-0.585062207336858,-1.25544525305556,0.756554493648266,-0.300009248696101,-0.226509463428148,-0.232129012809548,-1.18920587854558,-0.846565928071143,-0.00400573960796883,1.23348817173661
"K16",0.239648063769917,0.185467817496365,1.51107696123918,2.24043677626862,1.42001729037224,1.95284362859284,1.33467246214337,0.601172829592439,0.163714206088682,0.383986754998326,-0.496902915651321,1.24856752556256,0.724970650207203,1.22131282206227,1.49340980537281,2.18861268882321,1.89511355012344,1.02910204528758,3.42416370338376,1.89098922811858,2.75549131813649
"K17",-0.139680590703104,0.382643813398242,-0.831311472070545,0.636278786304525,0.70326726104501,0.864939027661595,0.00495379478884175,0.585843602120404,0.0967413933436261,0.47476046231992,1.30038079036107,0.974146948559871,2.12471354207571,-0.75018346454644,0.200899771111638,0.846510598102788,0.695062339789469,0.47820439596222,-0.861003312033022,-0.33399594341921,-0.422613890296419
"K18",1.21063398742794,0.0311412408911603,-0.351787170123567,-0.90984177082287,-0.327285547377454,-0.547459234082049,0.874407682805326,-0.0298437337149508,-0.280028924222865,-1.03062882419214,-0.651918418237571,-0.929535882455518,-0.62454006367665,-1.06757756573093,-0.836758541581043,-1.30349639536227,-0.785178747090263,-0.903860044303895,-0.402709946398118,-0.821027982156016,-0.153972065464061
"K19",-0.482244229398795,-0.271614418356416,-0.467704645622211,1.26249684689046,1.76958466312615,1.55451863402712,0.123898551590138,1.87237045830053,0.134964808893099,1.42228207163996,-0.12795394781846,0.828538405763827,1.66923652092044,3.89430422329291,-0.507869822476054,1.73572024015242,1.26345216544522,0.291381152562127,-0.16113178040975,0.663010401748287,-0.342384801663888
