"","Acc","TP","TN","FP","FN","OOB"
"1","1","1","1","0","0","0.13675"
"2","1","1","1","0","0","0.0449833333333333"
"3","1","1","1","0","0","0.269583333333333"
"4","1","1","1","0","0","0.139414285714286"
"5","1","1","1","0","0","0.194519047619048"
"6","1","1","1","0","0","0.165869047619048"
"7","1","1","1","0","0","0.203216666666667"
"8","1","1","1","0","0","0.0404428571428571"
"9","1","1","1","0","0","0.1338"
"10","1","1","1","0","0","0.17117619047619"
"11","1","1","1","0","0","0.0718285714285714"
"12","1","1","1","0","0","0.159997619047619"
"13","1","1","1","0","0","0.0999904761904762"
"14","1","1","1","0","0","0.0704666666666667"
"15","1","1","1","0","0","0.132059523809524"
"16","1","1","1","0","0","0.2645"
"17","1","1","1","0","0","0.193940476190476"
"18","1","1","1","0","0","0.0813928571428571"
"19","1","1","1","0","0","0.0393928571428571"
"20","1","1","1","0","0","0.166488095238095"
"21","1","1","1","0","0","0.0692785714285714"
"22","1","1","1","0","0","0.0651547619047619"
"23","1","1","1","0","0","0.0422690476190476"
"24","1","1","1","0","0","0.135669047619048"
"25","1","1","1","0","0","0.0353261904761905"
"26","1","1","1","0","0","0.123516666666667"
"27","1","1","1","0","0","0.0194880952380952"
"28","1","1","1","0","0","0.237511904761905"
"29","1","1","1","0","0","0.164607142857143"
"30","1","1","1","0","0","0.0168452380952381"
"31","1","1","1","0","0","0.15105"
"32","1","1","1","0","0","0.157238095238095"
"33","1","1","1","0","0","0.112857142857143"
"34","1","1","1","0","0","0.0969047619047619"
"35","1","1","1","0","0","0.127719047619048"
"36","1","1","1","0","0","0.212804761904762"
"37","1","1","1","0","0","0.0588333333333333"
"38","1","1","1","0","0","0.0737928571428571"
"39","1","1","1","0","0","0.133488095238095"
"40","1","1","1","0","0","0.190566666666667"
"41","1","1","1","0","0","0.148595238095238"
"42","1","1","1","0","0","0.158009523809524"
"43","1","1","1","0","0","0.253907142857143"
"44","1","1","1","0","0","0.0429404761904762"
"45","1","1","1","0","0","0.122354761904762"
"46","1","1","1","0","0","0.0689571428571429"
"47","1","1","1","0","0","0.194304761904762"
"48","1","1","1","0","0","0.319821428571429"
"49","1","1","1","0","0","0.16282380952381"
"50","1","1","1","0","0","0.134066666666667"
"51","1","1","1","0","0","0.133697619047619"
"52","1","1","1","0","0","0.047"
"53","1","1","1","0","0","0.168547619047619"
"54","1","1","1","0","0","0.263035714285714"
"55","1","1","1","0","0","0.0636190476190476"
"56","1","1","1","0","0","0.0193214285714286"
"57","1","1","1","0","0","0.147"
"58","1","1","1","0","0","0.104154761904762"
"59","1","1","1","0","0","0.131788095238095"
"60","1","1","1","0","0","0.251690476190476"
"61","1","1","1","0","0","0.154888095238095"
"62","1","1","1","0","0","0.141752380952381"
"63","1","1","1","0","0","0.0567142857142857"
"64","1","1","1","0","0","0.0383452380952381"
"65","1","1","1","0","0","0.0541071428571429"
"66","1","1","1","0","0","0.22342619047619"
"67","1","1","1","0","0","0.149435714285714"
"68","1","1","1","0","0","0.0506904761904762"
"69","1","1","1","0","0","0.18767380952381"
"70","1","1","1","0","0","0.134435714285714"
"71","1","1","1","0","0","0.0218952380952381"
"72","1","1","1","0","0","0.0213452380952381"
"73","1","1","1","0","0","0.0793738095238095"
"74","1","1","1","0","0","0.0516833333333333"
"75","1","1","1","0","0","0.0210380952380952"
"76","1","1","1","0","0","0.179216666666667"
"77","1","1","1","0","0","0.108430952380952"
"78","1","1","1","0","0","0.109735714285714"
"79","1","1","1","0","0","0.140940476190476"
"80","1","1","1","0","0","0.0388690476190476"
"81","1","1","1","0","0","0.09375"
"82","1","1","1","0","0","0.0403690476190476"
"83","1","1","1","0","0","0.0260380952380952"
"84","1","1","1","0","0","0.141509523809524"
"85","1","1","1","0","0","0.225807142857143"
"86","1","1","1","0","0","0.1754"
"87","1","1","1","0","0","0.149257142857143"
"88","1","1","1","0","0","0.0528047619047619"
"89","1","1","1","0","0","0.151454761904762"
"90","1","1","1","0","0","0.248330952380952"
"91","1","1","1","0","0","0.166083333333333"
"92","1","1","1","0","0","0.0936071428571429"
"93","1","1","1","0","0","0.129197619047619"
"94","1","1","1","0","0","0.126735714285714"
"95","1","1","1","0","0","0.167183333333333"
"96","1","1","1","0","0","0.0962642857142857"
"97","1","1","1","0","0","0.0612619047619048"
"98","1","1","1","0","0","0.0336428571428571"
"99","1","1","1","0","0","0.0160714285714286"
"100","1","1","1","0","0","0.216988095238095"
"101","1","1","1","0","0","0.22875"
"102","1","1","1","0","0","0.04075"
"103","1","1","1","0","0","0.129416666666667"
"104","1","1","1","0","0","0.136059523809524"
"105","1","1","1","0","0","0.133583333333333"
"106","1","1","1","0","0","0.170957142857143"
"107","1","1","1","0","0","0.0604285714285714"
"108","1","1","1","0","0","0.0378309523809524"
"109","1","1","1","0","0","0.163585714285714"
"110","1","1","1","0","0","0.00885238095238095"
"111","1","1","1","0","0","0.0492285714285714"
"112","1","1","1","0","0","0.171738095238095"
"113","1","1","1","0","0","0.0374"
"114","1","1","1","0","0","0.181654761904762"
"115","1","1","1","0","0","0.241735714285714"
"116","1","1","1","0","0","0.0927571428571429"
"117","1","1","1","0","0","0.138966666666667"
"118","1","1","1","0","0","0.1388"
"119","1","1","1","0","0","0.0193714285714286"
"120","1","1","1","0","0","0.0782880952380952"
"121","1","1","1","0","0","0.161888095238095"
"122","1","1","1","0","0","0.0605214285714286"
"123","1","1","1","0","0","0.1289"
"124","1","1","1","0","0","0.176916666666667"
"125","1","1","1","0","0","0.0745880952380952"
"126","1","1","1","0","0","0.165642857142857"
"127","1","1","1","0","0","0.270961904761905"
"128","1","1","1","0","0","0.0271452380952381"
"129","1","1","1","0","0","0.194666666666667"
"130","1","1","1","0","0","0.151716666666667"
"131","1","1","1","0","0","0.0512809523809524"
"132","1","1","1","0","0","0.01"
"133","1","1","1","0","0","0.127940476190476"
"134","1","1","1","0","0","0.00745476190476191"
"135","1","1","1","0","0","0.0246214285714286"
"136","1","1","1","0","0","0.0884333333333333"
"137","1","1","1","0","0","0.0247380952380952"
"138","1","1","1","0","0","0.168904761904762"
"139","1","1","1","0","0","0.2875"
"140","1","1","1","0","0","0.256357142857143"
"141","1","1","1","0","0","0.137095238095238"
"142","1","1","1","0","0","0.238478571428571"
"143","1","1","1","0","0","0.252654761904762"
"144","1","1","1","0","0","0.049852380952381"
"145","1","1","1","0","0","0.255995238095238"
"146","1","1","1","0","0","0.0290571428571429"
"147","1","1","1","0","0","0.26175"
"148","1","1","1","0","0","0.1385"
