"","Acc","TP","TN","FP","FN","OOB"
"1","1","1","1","0","0","0.0270238095238095"
"2","1","1","1","0","0","0.0704523809523809"
"3","1","1","1","0","0","0.0720071428571429"
"4","1","1","1","0","0","0.0521309523809524"
"5","1","1","1","0","0","0.0828571428571429"
"6","1","1","1","0","0","0.024702380952381"
"7","1","1","1","0","0","0.02755"
"8","1","1","1","0","0","0.0650238095238095"
"9","1","1","1","0","0","0.0211428571428571"
"10","1","1","1","0","0","0.0284785714285714"
"11","1","1","1","0","0","0.104559523809524"
"12","1","1","1","0","0","0.0901547619047619"
"13","1","1","1","0","0","0.0507357142857143"
"14","1","1","1","0","0","0.0750333333333333"
"15","1","1","1","0","0","0.03275"
"16","1","1","1","0","0","0.0606880952380952"
"17","1","1","1","0","0","0.00375"
"18","1","1","1","0","0","0.110109523809524"
"19","1","1","1","0","0","0.0624904761904762"
"20","1","1","1","0","0","0.00959047619047619"
"21","1","1","1","0","0","0.0468809523809524"
"22","1","1","1","0","0","5e-04"
"23","1","1","1","0","0","0.133835714285714"
"24","1","1","1","0","0","0.010702380952381"
"25","1","1","1","0","0","0.0412166666666667"
"26","1","1","1","0","0","0.0225071428571429"
"27","1","1","1","0","0","0.0893333333333333"
"28","1","1","1","0","0","0.0335666666666667"
"29","1","1","1","0","0","0.0228809523809524"
"30","1","1","1","0","0","0.0713833333333333"
"31","1","1","1","0","0","0.127240476190476"
"32","1","1","1","0","0","0.0463809523809524"
"33","1","1","1","0","0","0.00680238095238095"
"34","1","1","1","0","0","0.127883333333333"
"35","1","1","1","0","0","0.0865285714285714"
"36","1","1","1","0","0","0.0234119047619048"
"37","1","1","1","0","0","0.0226904761904762"
"38","1","1","1","0","0","0.0249166666666667"
"39","1","1","1","0","0","0.10775"
"40","1","1","1","0","0","0.0339071428571429"
"41","1","1","1","0","0","0.0670380952380952"
"42","1","1","1","0","0","0.0147880952380952"
"43","1","1","1","0","0","0.0120595238095238"
"44","1","1","1","0","0","0.0988880952380952"
"45","1","1","1","0","0","0.0741452380952381"
"46","1","1","1","0","0","0.0311071428571429"
"47","1","1","1","0","0","0.0708880952380952"
"48","1","1","1","0","0","0.02075"
"49","1","1","1","0","0","0.0259357142857143"
"50","1","1","1","0","0","0.00161904761904762"
"51","1","1","1","0","0","0.0882261904761905"
"52","1","1","1","0","0","0.0505833333333333"
