"","Acc","TP","TN","FP","FN","OOB"
"406","1","1","1","0","0","0.8538"
"407","1","1","1","0","0","0.564635714285714"
"408","0.5","1","0","0","1","0.903392857142857"
"409","0.5","1","0","0","1","0.745538095238095"
"410","0.5","0","1","1","0","0.645309523809524"
"411","0.5","0","1","1","0","0.589428571428571"
"412","1","1","1","0","0","0.956657142857143"
"413","0.5","1","0","0","1","0.745378571428571"
"414","0","0","0","1","1","0.659592857142857"
"415","1","1","1","0","0","0.957178571428571"
"416","0","0","0","1","1","0.804714285714286"
"417","0.5","0","1","1","0","0.625190476190476"
"418","0.5","1","0","0","1","0.838116666666667"
"419","0.5","0","1","1","0","0.873466666666667"
"420","0.5","1","0","0","1","0.560583333333333"
"421","0.5","1","0","0","1","0.7878"
"422","0.5","1","0","0","1","0.53852380952381"
"423","0.5","0","1","1","0","0.637795238095238"
"424","0","0","0","1","1","0.62855"
"425","0.5","0","1","1","0","0.710907142857143"
"426","0.5","0","1","1","0","0.923766666666667"
"427","0.5","1","0","0","1","0.802678571428571"
"428","0.5","0","1","1","0","0.71467619047619"
"429","0.5","0","1","1","0","0.685885714285714"
"430","0.5","1","0","0","1","0.688835714285714"
"431","1","1","1","0","0","0.861592857142857"
"432","0.5","0","1","1","0","0.648178571428571"
"433","0","0","0","1","1","0.398992857142857"
"434","0.5","0","1","1","0","0.746978571428571"
"435","0","0","0","1","1","0.667807142857143"
"436","0.5","1","0","0","1","0.882083333333333"
"437","0.5","1","0","0","1","0.891942857142857"
"438","0.5","0","1","1","0","0.644680952380952"
"439","0.5","0","1","1","0","0.704095238095238"
"440","0.5","1","0","0","1","0.9297"
"441","0.5","1","0","0","1","0.800392857142857"
"442","0","0","0","1","1","0.291585714285714"
"443","0","0","0","1","1","0.620888095238095"
"444","0","0","0","1","1","0.710273809523809"
"445","0.5","1","0","0","1","0.7685"
"446","1","1","1","0","0","0.541826190476191"
"447","0","0","0","1","1","0.757366666666667"
"448","0.5","1","0","0","1","0.651380952380952"
"449","0.5","1","0","0","1","0.474628571428571"
"450","1","1","1","0","0","0.982"
"451","1","1","1","0","0","0.876"
"452","0.5","1","0","0","1","0.42937619047619"
"453","0.5","1","0","0","1","0.527773809523809"
"454","0.5","1","0","0","1","0.945914285714286"
"455","0.5","1","0","0","1","0.756666666666667"
"456","1","1","1","0","0","0.858866666666667"
"457","0","0","0","1","1","0.603211904761905"
"458","0.5","1","0","0","1","0.935547619047619"
"459","0.5","1","0","0","1","0.92167380952381"
"460","0.5","1","0","0","1","0.468880952380952"
"461","0.5","1","0","0","1","0.651166666666667"
"462","0.5","1","0","0","1","0.70772619047619"
"463","0.5","1","0","0","1","0.715433333333333"
"464","0.5","0","1","1","0","0.753045238095238"
"465","0.5","1","0","0","1","0.887547619047619"
"466","0.5","0","1","1","0","0.588457142857143"
"467","0.5","1","0","0","1","0.93245"
"468","0.5","1","0","0","1","0.612833333333333"
"469","0.5","0","1","1","0","0.556169047619048"
"470","0.5","1","0","0","1","0.756892857142857"
"471","0","0","0","1","1","0.62925"
"472","0.5","0","1","1","0","0.617488095238095"
"473","0.5","0","1","1","0","0.565083333333333"
"474","0","0","0","1","1","0.389"
"475","0","0","0","1","1","0.783490476190476"
"476","0.5","1","0","0","1","0.92775"
"477","0.5","0","1","1","0","0.670378571428571"
"478","0.5","1","0","0","1","0.606290476190476"
"479","0.5","0","1","1","0","0.778821428571429"
"480","0.5","0","1","1","0","0.602342857142857"
"481","1","1","1","0","0","0.944702380952381"
"482","0.5","0","1","1","0","0.564154761904762"
"483","0.5","1","0","0","1","0.303333333333333"
"484","0.5","1","0","0","1","0.685940476190476"
"485","0.5","0","1","1","0","0.602392857142857"
"486","0.5","1","0","0","1","0.718835714285714"
"487","0.5","0","1","1","0","0.843357142857143"
"488","0.5","1","0","0","1","0.5866"
"489","1","1","1","0","0","0.95295"
"490","0.5","0","1","1","0","0.705452380952381"
"491","1","1","1","0","0","0.850235714285714"
"492","0.5","1","0","0","1","0.91495"
"493","1","1","1","0","0","0.974128571428571"
"494","0.5","0","1","1","0","0.749516666666667"
"495","0","0","0","1","1","0.392857142857143"
"496","1","1","1","0","0","0.696742857142857"
"497","0.5","0","1","1","0","0.737259523809524"
"498","0","0","0","1","1","0.48645"
"499","0.5","0","1","1","0","0.813366666666667"
"500","0.5","1","0","0","1","0.822511904761905"
